Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/08/2023; R$ 4.584,03 ;289.255; R$ 1.325.955.136,82 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/08/2023; R$ 4.136,31 ;24.423; R$ 101.022.814,16 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/09/2023; R$ 4.623,39 ;364.562; R$ 1.685.511.744,66 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/09/2023; R$ 4.612,30 ;317.908; R$ 1.466.286.463,60 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/09/2023; R$ 7.110,46 ;6.765; R$ 48.101.910,20 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/09/2023; R$ 4.828,01 ;551.961; R$ 2.664.871.306,07 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/09/2023; R$ 1.088,40 ;1.063.385; R$ 1.157.388.551,76 
Tesouro IPCA+;15/08/2026;01/09/2023; R$ 3.658,97 ;3.744.022; R$ 13.699.277.674,38 
Tesouro Prefixado;01/01/2026;01/09/2023; R$ 827,18 ;4.810.767; R$ 3.979.350.046,40 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/09/2023; R$ 4.282,64 ;396.013; R$ 1.695.981.733,92 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/11/2023; R$ 4.751,04 ;561.992; R$ 2.670.048.766,17 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/11/2023; R$ 4.337,90 ;386.949; R$ 1.678.549.207,61 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/11/2023; R$ 1.007,84 ;208.496; R$ 210.131.129,18 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/12/2023; R$ 4.798,70 ;563.788; R$ 2.705.450.332,53 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/01/2024; R$ 1.070,87 ;1.020.018; R$ 1.092.307.668,71 
Tesouro IPCA+;15/08/2026;01/01/2024; R$ 3.765,38 ;3.589.779; R$ 13.516.876.775,36 
Tesouro Prefixado;01/01/2026;01/01/2024; R$ 849,17 ;5.049.828; R$ 4.288.186.927,36 
Tesouro RendA+;15/12/2064;01/01/2024; R$ 748,53 ;248.832; R$ 186.258.690,53 
Tesouro RendA+;15/12/2049;01/01/2024; R$ 1.784,09 ;312.237; R$ 557.059.783,93 
Tesouro RendA+;15/12/2054;01/01/2024; R$ 1.327,89 ;219.549; R$ 291.537.148,10 
Tesouro RendA+;15/12/2059;01/01/2024; R$ 993,50 ;199.043; R$ 197.748.119,31 
Tesouro RendA+;15/12/2069;01/01/2024; R$ 563,27 ;144.050; R$ 81.138.465,71 
Tesouro RendA+;15/12/2074;01/01/2024; R$ 418,28 ;117.031; R$ 48.951.023,41 
Tesouro RendA+;15/12/2079;01/01/2024; R$ 321,32 ;93.265; R$ 29.967.640,93 
Tesouro RendA+;15/12/2084;01/01/2024; R$ 236,40 ;847.435; R$ 200.334.447,89 
Tesouro Educa+;15/12/2030;01/01/2024; R$ 3.345,20 ;21.991; R$ 73.563.719,41 
Tesouro Educa+;15/12/2031;01/01/2024; R$ 3.179,44 ;4.174; R$ 13.272.207,89 
Tesouro Educa+;15/12/2032;01/01/2024; R$ 3.022,67 ;2.761; R$ 8.346.598,58 
Tesouro Educa+;15/12/2033;01/01/2024; R$ 2.865,79 ;4.037; R$ 11.569.585,14 
Tesouro Educa+;15/12/2034;01/01/2024; R$ 2.706,80 ;3.444; R$ 9.322.750,05 
Tesouro Educa+;15/12/2035;01/01/2024; R$ 2.555,34 ;3.002; R$ 7.672.352,55 
Tesouro Educa+;15/12/2036;01/01/2024; R$ 2.416,63 ;2.434; R$ 5.881.463,54 
Tesouro Educa+;15/12/2037;01/01/2024; R$ 2.288,76 ;2.357; R$ 5.394.504,64 
Tesouro Educa+;15/12/2038;01/01/2024; R$ 2.156,52 ;2.409; R$ 5.194.304,52 
Tesouro Educa+;15/12/2039;01/01/2024; R$ 2.055,22 ;4.796; R$ 9.855.988,86 
Tesouro Educa+;15/12/2040;01/01/2024; R$ 1.940,66 ;2.777; R$ 5.388.992,39 
Tesouro Educa+;15/12/2041;01/01/2024; R$ 1.834,64 ;2.017; R$ 3.700.373,38 
Tesouro Educa+;15/12/2042;01/01/2024; R$ 1.736,85 ;2.208; R$ 3.834.648,89 
Tesouro Educa+;15/12/2043;01/01/2024; R$ 1.642,54 ;2.371; R$ 3.893.638,98 
Tesouro Educa+;15/12/2031;01/02/2024; R$ 3.209,04 ;4.912; R$ 15.761.639,09 
Tesouro Educa+;15/12/2030;01/02/2024; R$ 3.377,74 ;25.584; R$ 86.415.622,62 
Tesouro Educa+;15/12/2032;01/02/2024; R$ 3.046,84 ;3.638; R$ 11.085.526,34 
Tesouro Educa+;15/12/2033;01/02/2024; R$ 2.890,09 ;4.754; R$ 13.739.135,16 
Tesouro Educa+;15/12/2034;01/02/2024; R$ 2.730,73 ;4.128; R$ 11.271.364,00 
Tesouro Educa+;15/12/2035;01/02/2024; R$ 2.578,96 ;3.464; R$ 8.934.080,37 
Tesouro Educa+;15/12/2036;01/02/2024; R$ 2.439,13 ;2.712; R$ 6.614.482,27 
Tesouro Educa+;15/12/2037;01/02/2024; R$ 2.309,93 ;2.613; R$ 6.035.429,57 
Tesouro Educa+;15/12/2038;01/02/2024; R$ 2.177,74 ;2.725; R$ 5.933.520,05 
Tesouro Educa+;15/12/2039;01/02/2024; R$ 2.073,32 ;5.466; R$ 11.331.836,37 
Tesouro Educa+;15/12/2040;01/02/2024; R$ 1.958,99 ;2.989; R$ 5.856.093,26 
Tesouro Educa+;15/12/2041;01/02/2024; R$ 1.851,52 ;2.389; R$ 4.423.396,15 
Tesouro Educa+;15/12/2042;01/02/2024; R$ 1.751,80 ;2.541; R$ 4.451.656,53 
Tesouro Educa+;15/12/2043;01/02/2024; R$ 1.657,95 ;2.526; R$ 4.188.662,10 
